,StatisticCrimeGroup,StatisticCrimeType,Quarter,Religious level,TikimSum
27,סעיפי הגדרה,סעיפי הגדרה,2019-Q3,מסורתיים,10
28,סעיפי הגדרה,סעיפי הגדרה,2019-Q4,דתיים,15
29,סעיפי הגדרה,סעיפי הגדרה,2019-Q4,חילונים,103
30,סעיפי הגדרה,סעיפי הגדרה,2019-Q4,חרדים,3
31,סעיפי הגדרה,סעיפי הגדרה,2019-Q4,מסורתיים,16
32,סעיפי הגדרה,סעיפי הגדרה,2020-Q1,דתיים,23
33,סעיפי הגדרה,סעיפי הגדרה,2020-Q1,חילונים,34
34,סעיפי הגדרה,סעיפי הגדרה,2020-Q1,חרדים,1
35,סעיפי הגדרה,סעיפי הגדרה,2020-Q1,מסורתיים,8
36,סעיפי הגדרה,סעיפי הגדרה,2020-Q2,דתיים,17
37,סעיפי הגדרה,סעיפי הגדרה,2020-Q2,חילונים,42
38,סעיפי הגדרה,סעיפי הגדרה,2020-Q2,חרדים,2
39,סעיפי הגדרה,סעיפי הגדרה,2020-Q2,מסורתיים,18
40,סעיפי הגדרה,סעיפי הגדרה,2020-Q3,דתיים,10
41,סעיפי הגדרה,סעיפי הגדרה,2020-Q3,חילונים,48
42,סעיפי הגדרה,סעיפי הגדרה,2020-Q3,חרדים,2
43,סעיפי הגדרה,סעיפי הגדרה,2020-Q3,מסורתיים,12
44,סעיפי הגדרה,סעיפי הגדרה,2020-Q4,דתיים,23
45,סעיפי הגדרה,סעיפי הגדרה,2020-Q4,חילונים,61
46,סעיפי הגדרה,סעיפי הגדרה,2020-Q4,חרדים,2
47,סעיפי הגדרה,סעיפי הגדרה,2020-Q4,מסורתיים,7
48,סעיפי הגדרה,סעיפי הגדרה,2021-Q1,דתיים,17
49,סעיפי הגדרה,סעיפי הגדרה,2021-Q1,חילונים,53
50,סעיפי הגדרה,סעיפי הגדרה,2021-Q1,חרדים,1
51,סעיפי הגדרה,סעיפי הגדרה,2021-Q1,מסורתיים,10
52,סעיפי הגדרה,סעיפי הגדרה,2021-Q2,דתיים,22
53,סעיפי הגדרה,סעיפי הגדרה,2021-Q2,חילונים,46
54,סעיפי הגדרה,סעיפי הגדרה,2021-Q2,חרדים,2
55,סעיפי הגדרה,סעיפי הגדרה,2021-Q2,מסורתיים,9
56,סעיפי הגדרה,סעיפי הגדרה,2021-Q3,דתיים,8
57,סעיפי הגדרה,סעיפי הגדרה,2021-Q3,חילונים,45
58,סעיפי הגדרה,סעיפי הגדרה,2021-Q3,חרדים,1
59,סעיפי הגדרה,סעיפי הגדרה,2021-Q3,מסורתיים,7
60,סעיפי הגדרה,סעיפי הגדרה,2021-Q4,דתיים,13
61,סעיפי הגדרה,סעיפי הגדרה,2021-Q4,חילונים,50
62,סעיפי הגדרה,סעיפי הגדרה,2021-Q4,חרדים,6
63,סעיפי הגדרה,סעיפי הגדרה,2021-Q4,מסורתיים,3
64,סעיפי הגדרה,סעיפי הגדרה,2022-Q1,דתיים,7
65,סעיפי הגדרה,סעיפי הגדרה,2022-Q1,חילונים,54
66,סעיפי הגדרה,סעיפי הגדרה,2022-Q1,חרדים,4
67,סעיפי הגדרה,סעיפי הגדרה,2022-Q1,מסורתיים,3
68,סעיפי הגדרה,סעיפי הגדרה,2022-Q2,דתיים,14
69,סעיפי הגדרה,סעיפי הגדרה,2022-Q2,חילונים,87
70,סעיפי הגדרה,סעיפי הגדרה,2022-Q2,חרדים,1
71,סעיפי הגדרה,סעיפי הגדרה,2022-Q2,מסורתיים,5
72,סעיפי הגדרה,סעיפי הגדרה,2022-Q3,דתיים,11
73,סעיפי הגדרה,סעיפי הגדרה,2022-Q3,חילונים,33
74,סעיפי הגדרה,סעיפי הגדרה,2022-Q3,חרדים,1
75,סעיפי הגדרה,סעיפי הגדרה,2022-Q4,דתיים,6
76,סעיפי הגדרה,סעיפי הגדרה,2022-Q4,חילונים,32
77,סעיפי הגדרה,סעיפי הגדרה,2022-Q4,חרדים,3
78,סעיפי הגדרה,סעיפי הגדרה,2022-Q4,מסורתיים,3
79,סעיפי הגדרה,סעיפי הגדרה,2023-Q1,דתיים,7
80,סעיפי הגדרה,סעיפי הגדרה,2023-Q1,חילונים,25
81,סעיפי הגדרה,סעיפי הגדרה,2023-Q1,מסורתיים,6
82,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q1,דתיים,1
83,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q1,חילונים,1
84,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q2,דתיים,1
85,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q2,חילונים,1
86,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q3,דתיים,3
87,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2018-Q3,חילונים,1
88,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q1,דתיים,2
89,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q1,חילונים,1
90,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q2,דתיים,3
91,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q3,דתיים,1
92,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q3,חרדים,1
93,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q3,מסורתיים,1
94,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q4,דתיים,2
95,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2019-Q4,חילונים,1
96,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q1,דתיים,6
97,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q1,מסורתיים,5
98,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q2,דתיים,2
99,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q2,מסורתיים,3
100,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q3,דתיים,2
101,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q3,חילונים,1
102,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q3,מסורתיים,2
103,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q4,דתיים,4
104,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2020-Q4,מסורתיים,4
105,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q1,דתיים,3
106,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q1,חרדים,1
107,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q1,מסורתיים,8
108,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q2,דתיים,1
109,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q2,מסורתיים,12
110,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q3,דתיים,4
111,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q3,חילונים,1
112,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q3,מסורתיים,1
113,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2021-Q4,דתיים,1
114,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q1,דתיים,5
115,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q1,מסורתיים,1
116,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q2,דתיים,3
117,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q2,חילונים,2
118,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q2,מסורתיים,1
119,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q3,דתיים,4
120,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q3,חילונים,1
121,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q3,מסורתיים,1
122,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q4,דתיים,1
123,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q4,חילונים,2
124,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q4,חרדים,1
125,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2022-Q4,מסורתיים,1
126,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2023-Q1,דתיים,2
127,עבירות בטחון,"(עבירות אמל""ח (אמצעי לחימה",2023-Q1,חרדים,2
128,עבירות בטחון,בגידה ורגול,2018-Q3,חילונים,1
129,עבירות בטחון,בגידה ורגול,2019-Q1,דתיים,2
130,עבירות בטחון,בגידה ורגול,2019-Q2,דתיים,1
131,עבירות בטחון,בגידה ורגול,2019-Q3,דתיים,1
132,עבירות בטחון,בגידה ורגול,2019-Q3,חילונים,1
133,עבירות בטחון,בגידה ורגול,2019-Q4,חילונים,1
134,עבירות בטחון,בגידה ורגול,2020-Q1,דתיים,1
135,עבירות בטחון,בגידה ורגול,2020-Q3,דתיים,1
136,עבירות בטחון,בגידה ורגול,2020-Q3,מסורתיים,1
137,עבירות בטחון,בגידה ורגול,2020-Q4,דתיים,3
138,עבירות בטחון,בגידה ורגול,2021-Q1,חילונים,1
139,עבירות בטחון,בגידה ורגול,2021-Q2,דתיים,2
140,עבירות בטחון,בגידה ורגול,2021-Q2,חילונים,1
141,עבירות בטחון,בגידה ורגול,2022-Q1,דתיים,1
142,עבירות בטחון,בגידה ורגול,2022-Q1,חילונים,1
143,עבירות בטחון,בגידה ורגול,2022-Q2,דתיים,1
144,עבירות בטחון,בגידה ורגול,2023-Q1,דתיים,2
145,עבירות בטחון,הסתה,2018-Q3,חילונים,1
146,עבירות בטחון,הסתה,2018-Q4,דתיים,3
147,עבירות בטחון,הסתה,2018-Q4,חילונים,2
148,עבירות בטחון,הסתה,2019-Q1,חילונים,1
149,עבירות בטחון,הסתה,2019-Q3,חילונים,2
150,עבירות בטחון,הסתה,2019-Q3,חרדים,1
151,עבירות בטחון,הסתה,2019-Q4,דתיים,2
152,עבירות בטחון,הסתה,2020-Q1,חילונים,2
153,עבירות בטחון,הסתה,2020-Q2,חילונים,2
154,עבירות בטחון,הסתה,2020-Q2,מסורתיים,1
155,עבירות בטחון,הסתה,2020-Q3,חילונים,3
156,עבירות בטחון,הסתה,2020-Q4,דתיים,1
157,עבירות בטחון,הסתה,2020-Q4,חילונים,1
158,עבירות בטחון,הסתה,2021-Q1,חילונים,1
159,עבירות בטחון,הסתה,2021-Q2,דתיים,1
160,עבירות בטחון,הסתה,2021-Q3,חילונים,1
161,עבירות בטחון,הסתה,2021-Q4,דתיים,2
162,עבירות בטחון,הסתה,2021-Q4,חילונים,1
163,עבירות בטחון,הסתה,2022-Q1,דתיים,2
164,עבירות בטחון,הסתה,2022-Q2,דתיים,3
165,עבירות בטחון,הסתה,2022-Q2,מסורתיים,1
166,עבירות בטחון,הסתה,2022-Q3,דתיים,1
167,עבירות בטחון,הסתה,2022-Q3,חילונים,1
168,עבירות בטחון,הסתה,2022-Q4,דתיים,5
169,עבירות בטחון,הסתה,2023-Q1,דתיים,1
170,עבירות בטחון,הסתננות,2018-Q1,דתיים,1
171,עבירות בטחון,הסתננות,2018-Q1,חילונים,2
172,עבירות בטחון,הסתננות,2018-Q2,חילונים,1
173,עבירות בטחון,הסתננות,2018-Q2,מסורתיים,1
174,עבירות בטחון,הסתננות,2018-Q3,חילונים,1
175,עבירות בטחון,הסתננות,2018-Q4,חילונים,3
176,עבירות בטחון,הסתננות,2018-Q4,מסורתיים,1
177,עבירות בטחון,הסתננות,2019-Q1,דתיים,1
178,עבירות בטחון,הסתננות,2019-Q1,חילונים,2
179,עבירות בטחון,הסתננות,2019-Q2,חילונים,1
180,עבירות בטחון,הסתננות,2019-Q2,חרדים,2
181,עבירות בטחון,הסתננות,2019-Q3,חילונים,2
182,עבירות בטחון,הסתננות,2019-Q3,מסורתיים,2
183,עבירות בטחון,הסתננות,2019-Q4,חילונים,3
184,עבירות בטחון,הסתננות,2020-Q1,מסורתיים,1
185,עבירות בטחון,הסתננות,2020-Q3,חילונים,1
186,עבירות בטחון,הסתננות,2021-Q1,חילונים,1
187,עבירות בטחון,הסתננות,2021-Q4,חילונים,1
188,עבירות בטחון,הסתננות,2022-Q1,מסורתיים,1
189,עבירות בטחון,הסתננות,2022-Q3,חילונים,1
190,עבירות בטחון,הסתננות,2022-Q4,חילונים,1
191,עבירות בטחון,הסתננות,2022-Q4,מסורתיים,1
192,עבירות בטחון,הסתננות,2023-Q1,חילונים,2
193,עבירות בטחון,הסתננות,2023-Q1,מסורתיים,1
194,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q1,דתיים,60
195,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q2,דתיים,62
196,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q2,חילונים,1
197,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q2,חרדים,1
198,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q3,דתיים,17
199,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q4,דתיים,21
200,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2018-Q4,חילונים,1
201,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q1,דתיים,13
202,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q2,דתיים,10
203,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q3,דתיים,18
204,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q3,חילונים,1
205,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q4,דתיים,22
206,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q4,חרדים,1
207,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2019-Q4,מסורתיים,1
208,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q1,דתיים,6
209,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q2,דתיים,11
210,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q2,חילונים,1
211,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q2,חרדים,1
212,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q3,דתיים,15
213,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q3,חילונים,1
214,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q4,דתיים,15
215,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q4,חילונים,1
216,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2020-Q4,מסורתיים,2
217,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q1,דתיים,10
218,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q2,דתיים,9
219,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q2,חילונים,6
220,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q2,חרדים,2
221,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q3,דתיים,13
222,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q3,חילונים,3
223,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q4,דתיים,7
224,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2021-Q4,חילונים,1
225,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q1,דתיים,7
226,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q1,מסורתיים,1
227,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q2,דתיים,9
228,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q2,חילונים,1
229,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q3,דתיים,6
230,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q3,חילונים,2
231,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q3,חרדים,2
232,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q4,דתיים,6
233,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2022-Q4,חילונים,3
234,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2023-Q1,דתיים,3
235,עבירות בטחון,השלכת בקבוק תבערה - בטחון,2023-Q1,חרדים,2
236,עבירות בטחון,ידוי אבנים,2018-Q1,דתיים,238
237,עבירות בטחון,ידוי אבנים,2018-Q1,חילונים,41
238,עבירות בטחון,ידוי אבנים,2018-Q1,חרדים,3
239,עבירות בטחון,ידוי אבנים,2018-Q1,מסורתיים,19
240,עבירות בטחון,ידוי אבנים,2018-Q2,דתיים,226
241,עבירות בטחון,ידוי אבנים,2018-Q2,חילונים,25
242,עבירות בטחון,ידוי אבנים,2018-Q2,חרדים,7
243,עבירות בטחון,ידוי אבנים,2018-Q2,מסורתיים,17
244,עבירות בטחון,ידוי אבנים,2018-Q3,דתיים,128
245,עבירות בטחון,ידוי אבנים,2018-Q3,חילונים,25
246,עבירות בטחון,ידוי אבנים,2018-Q3,חרדים,6
247,עבירות בטחון,ידוי אבנים,2018-Q3,מסורתיים,6
248,עבירות בטחון,ידוי אבנים,2018-Q4,דתיים,150
249,עבירות בטחון,ידוי אבנים,2018-Q4,חילונים,16
250,עבירות בטחון,ידוי אבנים,2018-Q4,חרדים,4
251,עבירות בטחון,ידוי אבנים,2018-Q4,מסורתיים,24
252,עבירות בטחון,ידוי אבנים,2019-Q1,דתיים,131
253,עבירות בטחון,ידוי אבנים,2019-Q1,חילונים,17
254,עבירות בטחון,ידוי אבנים,2019-Q1,חרדים,5
255,עבירות בטחון,ידוי אבנים,2019-Q1,מסורתיים,9
256,עבירות בטחון,ידוי אבנים,2019-Q2,דתיים,139
257,עבירות בטחון,ידוי אבנים,2019-Q2,חילונים,17
258,עבירות בטחון,ידוי אבנים,2019-Q2,חרדים,6
259,עבירות בטחון,ידוי אבנים,2019-Q2,מסורתיים,13
260,עבירות בטחון,ידוי אבנים,2019-Q3,דתיים,167
261,עבירות בטחון,ידוי אבנים,2019-Q3,חילונים,21
262,עבירות בטחון,ידוי אבנים,2019-Q3,חרדים,4
263,עבירות בטחון,ידוי אבנים,2019-Q3,מסורתיים,6
264,עבירות בטחון,ידוי אבנים,2019-Q4,דתיים,195
265,עבירות בטחון,ידוי אבנים,2019-Q4,חילונים,24
266,עבירות בטחון,ידוי אבנים,2019-Q4,חרדים,8
267,עבירות בטחון,ידוי אבנים,2019-Q4,מסורתיים,10
268,עבירות בטחון,ידוי אבנים,2020-Q1,דתיים,136
269,עבירות בטחון,ידוי אבנים,2020-Q1,חילונים,14
270,עבירות בטחון,ידוי אבנים,2020-Q1,חרדים,5
271,עבירות בטחון,ידוי אבנים,2020-Q1,מסורתיים,11
272,עבירות בטחון,ידוי אבנים,2020-Q2,דתיים,111
273,עבירות בטחון,ידוי אבנים,2020-Q2,חילונים,25
274,עבירות בטחון,ידוי אבנים,2020-Q2,חרדים,5
275,עבירות בטחון,ידוי אבנים,2020-Q2,מסורתיים,7
276,עבירות בטחון,ידוי אבנים,2020-Q3,דתיים,109
277,עבירות בטחון,ידוי אבנים,2020-Q3,חילונים,25
278,עבירות בטחון,ידוי אבנים,2020-Q3,חרדים,8
279,עבירות בטחון,ידוי אבנים,2020-Q3,מסורתיים,14
280,עבירות בטחון,ידוי אבנים,2020-Q4,דתיים,150
281,עבירות בטחון,ידוי אבנים,2020-Q4,חילונים,31
282,עבירות בטחון,ידוי אבנים,2020-Q4,חרדים,16
283,עבירות בטחון,ידוי אבנים,2020-Q4,מסורתיים,15
284,עבירות בטחון,ידוי אבנים,2021-Q1,דתיים,101
285,עבירות בטחון,ידוי אבנים,2021-Q1,חילונים,41
286,עבירות בטחון,ידוי אבנים,2021-Q1,חרדים,41
287,עבירות בטחון,ידוי אבנים,2021-Q1,מסורתיים,23
288,עבירות בטחון,ידוי אבנים,2021-Q2,דתיים,389
289,עבירות בטחון,ידוי אבנים,2021-Q2,חילונים,129
290,עבירות בטחון,ידוי אבנים,2021-Q2,חרדים,19
291,עבירות בטחון,ידוי אבנים,2021-Q2,מסורתיים,213
292,עבירות בטחון,ידוי אבנים,2021-Q3,דתיים,212
293,עבירות בטחון,ידוי אבנים,2021-Q3,חילונים,39
294,עבירות בטחון,ידוי אבנים,2021-Q3,חרדים,13
295,עבירות בטחון,ידוי אבנים,2021-Q3,מסורתיים,11
296,עבירות בטחון,ידוי אבנים,2021-Q4,דתיים,187
297,עבירות בטחון,ידוי אבנים,2021-Q4,חילונים,41
298,עבירות בטחון,ידוי אבנים,2021-Q4,חרדים,11
299,עבירות בטחון,ידוי אבנים,2021-Q4,מסורתיים,26
300,עבירות בטחון,ידוי אבנים,2022-Q1,דתיים,180
301,עבירות בטחון,ידוי אבנים,2022-Q1,חילונים,25
302,עבירות בטחון,ידוי אבנים,2022-Q1,חרדים,8
303,עבירות בטחון,ידוי אבנים,2022-Q1,מסורתיים,29
304,עבירות בטחון,ידוי אבנים,2022-Q2,דתיים,248
305,עבירות בטחון,ידוי אבנים,2022-Q2,חילונים,49
306,עבירות בטחון,ידוי אבנים,2022-Q2,חרדים,15
307,עבירות בטחון,ידוי אבנים,2022-Q2,מסורתיים,14
308,עבירות בטחון,ידוי אבנים,2022-Q3,דתיים,176
309,עבירות בטחון,ידוי אבנים,2022-Q3,חילונים,36
310,עבירות בטחון,ידוי אבנים,2022-Q3,חרדים,6
311,עבירות בטחון,ידוי אבנים,2022-Q3,מסורתיים,15
312,עבירות בטחון,ידוי אבנים,2022-Q4,דתיים,257
313,עבירות בטחון,ידוי אבנים,2022-Q4,חילונים,27
314,עבירות בטחון,ידוי אבנים,2022-Q4,חרדים,11
315,עבירות בטחון,ידוי אבנים,2022-Q4,מסורתיים,17
316,עבירות בטחון,ידוי אבנים,2023-Q1,דתיים,142
317,עבירות בטחון,ידוי אבנים,2023-Q1,חילונים,34
318,עבירות בטחון,ידוי אבנים,2023-Q1,חרדים,13
319,עבירות בטחון,ידוי אבנים,2023-Q1,מסורתיים,29
320,עבירות בטחון,מסירת סודות רשמיים,2019-Q2,חילונים,1
321,עבירות בטחון,מסירת סודות רשמיים,2019-Q3,דתיים,1
322,עבירות בטחון,מסירת סודות רשמיים,2019-Q3,חילונים,1
323,עבירות בטחון,מסירת סודות רשמיים,2022-Q3,דתיים,1
324,עבירות בטחון,מרד והסתה למרד,2018-Q2,דתיים,10
325,עבירות בטחון,מרד והסתה למרד,2019-Q2,דתיים,11
326,עבירות בטחון,מרד והסתה למרד,2019-Q3,דתיים,14
327,עבירות בטחון,מרד והסתה למרד,2019-Q4,דתיים,15
328,עבירות בטחון,מרד והסתה למרד,2020-Q1,דתיים,17
329,עבירות בטחון,מרד והסתה למרד,2020-Q4,דתיים,18
330,עבירות בטחון,מרד והסתה למרד,2021-Q1,דתיים,11
331,עבירות בטחון,מרד והסתה למרד,2021-Q2,דתיים,291
332,עבירות בטחון,מרד והסתה למרד,2021-Q2,חילונים,34
333,עבירות בטחון,מרד והסתה למרד,2021-Q3,דתיים,88
334,עבירות בטחון,מרד והסתה למרד,2021-Q4,דתיים,87
335,עבירות בטחון,מרד והסתה למרד,2022-Q1,דתיים,73
336,עבירות בטחון,מרד והסתה למרד,2022-Q2,דתיים,151
337,עבירות בטחון,מרד והסתה למרד,2022-Q3,דתיים,65
338,עבירות בטחון,מרד והסתה למרד,2022-Q4,דתיים,83
339,עבירות בטחון,מרד והסתה למרד,2023-Q1,דתיים,74
340,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q1,דתיים,120
341,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q1,חילונים,37
342,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q1,חרדים,5
343,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q1,מסורתיים,17
344,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q2,דתיים,149
345,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q2,חילונים,25
346,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q2,חרדים,3
347,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q2,מסורתיים,13
348,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q3,דתיים,117
349,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q3,חילונים,27
350,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q3,חרדים,4
351,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q3,מסורתיים,28
352,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q4,דתיים,53
353,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q4,חילונים,31
354,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q4,חרדים,7
355,עבירות בטחון,עבירות אחרות כלפי בטחון,2018-Q4,מסורתיים,48
356,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q1,דתיים,136
357,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q1,חילונים,37
358,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q1,חרדים,11
359,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q1,מסורתיים,52
360,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q2,דתיים,225
361,עבירות בטחון,עבירות אחרות כלפי בטחון,2019-Q2,חילונים,36
