StatisticCrimeGroup,Cluster,Quarter,TikimSum,norm
עבירות בטחון,1.0,2023-Q1,80,3.431562332096795
עבירות בטחון,2.0,2018-Q1,416,87.3416163439069
עבירות בטחון,2.0,2018-Q2,433,90.91086508873002
עבירות בטחון,2.0,2018-Q3,245,51.43917308715671
עבירות בטחון,2.0,2018-Q4,209,43.88076398047246
עבירות בטחון,2.0,2019-Q1,280,58.78762638532195
עבירות בטחון,2.0,2019-Q2,397,83.35245598204577
עבירות בטחון,2.0,2019-Q3,390,81.88276532241272
עבירות בטחון,2.0,2019-Q4,375,78.73342819462762
עבירות בטחון,2.0,2020-Q1,311,65.29625644941117
עבירות בטחון,2.0,2020-Q2,216,45.350454640105504
עבירות בטחון,2.0,2020-Q3,239,50.179438236042664
עבירות בטחון,2.0,2020-Q4,391,82.09272113093172
עבירות בטחון,2.0,2021-Q1,260,54.58851021494181
עבירות בטחון,2.0,2021-Q2,869,182.45159760301706
עבירות בטחון,2.0,2021-Q3,502,105.3978158765415
עבירות בטחון,2.0,2021-Q4,436,91.54073251428704
עבירות בטחון,2.0,2022-Q1,444,93.2203789824391
עבירות בטחון,2.0,2022-Q2,645,135.4214964947595
עבירות בטחון,2.0,2022-Q3,352,73.90444459869045
עבירות בטחון,2.0,2022-Q4,460,96.5796719187432
עבירות בטחון,2.0,2023-Q1,408,85.66196987575485
עבירות בטחון,3.0,2018-Q1,15,1.2196038962541358
עבירות בטחון,3.0,2018-Q2,6,0.48784155850165434
עבירות בטחון,3.0,2018-Q3,7,0.5691484849185967
עבירות בטחון,3.0,2018-Q4,6,0.48784155850165434
עבירות בטחון,3.0,2019-Q1,14,1.1382969698371934
עבירות בטחון,3.0,2019-Q2,17,1.3822177490880205
עבירות בטחון,3.0,2019-Q3,20,1.6261385283388476
עבירות בטחון,3.0,2019-Q4,2,0.16261385283388477
עבירות בטחון,3.0,2020-Q1,24,1.9513662340066174
עבירות בטחון,3.0,2020-Q2,16,1.3009108226710782
עבירות בטחון,3.0,2020-Q3,28,2.276593939674387
עבירות בטחון,3.0,2020-Q4,29,2.357900866091329
עבירות בטחון,3.0,2021-Q1,21,1.70744545475579
עבירות בטחון,3.0,2021-Q2,30,2.4392077925082716
עבירות בטחון,3.0,2021-Q3,4,0.32522770566776954
עבירות בטחון,3.0,2021-Q4,5,0.4065346320847119
עבירות בטחון,3.0,2022-Q1,31,2.520514718925214
עבירות בטחון,3.0,2022-Q2,24,1.9513662340066174
עבירות בטחון,3.0,2022-Q3,5,0.4065346320847119
עבירות בטחון,3.0,2022-Q4,31,2.520514718925214
עבירות בטחון,3.0,2023-Q1,25,2.0326731604235597
עבירות בטחון,4.0,2018-Q1,11,0.415905077007319
עבירות בטחון,4.0,2018-Q2,18,0.6805719441937947
עבירות בטחון,4.0,2018-Q3,15,0.5671432868281623
עבירות בטחון,4.0,2018-Q4,15,0.5671432868281623
עבירות בטחון,4.0,2019-Q1,12,0.45371462946252983
עבירות בטחון,4.0,2019-Q2,5,0.18904776227605408
עבירות בטחון,4.0,2019-Q3,3,0.11342865736563246
עבירות בטחון,4.0,2019-Q4,5,0.18904776227605408
עבירות בטחון,4.0,2020-Q1,8,0.30247641964168653
עבירות בטחון,4.0,2020-Q2,6,0.22685731473126491
עבירות בטחון,4.0,2020-Q3,8,0.30247641964168653
עבירות בטחון,4.0,2020-Q4,14,0.5293337343729514
עבירות בטחון,4.0,2021-Q1,32,1.2099056785667461
עבירות בטחון,4.0,2021-Q2,223,8.431530197512012
עבירות בטחון,4.0,2021-Q3,10,0.37809552455210815
עבירות בטחון,4.0,2021-Q4,13,0.4915241819177406
עבירות בטחון,4.0,2022-Q1,3,0.11342865736563246
עבירות בטחון,4.0,2022-Q2,7,0.2646668671864757
עבירות בטחון,4.0,2022-Q3,24,0.9074292589250597
עבירות בטחון,4.0,2022-Q4,8,0.30247641964168653
עבירות בטחון,4.0,2023-Q1,18,0.6805719441937947
עבירות בטחון,5.0,2018-Q1,42,6.999460138975652
עבירות בטחון,5.0,2018-Q2,30,4.999614384982609
עבירות בטחון,5.0,2018-Q3,21,3.499730069487826
עבירות בטחון,5.0,2018-Q4,37,6.166191074811884
עבירות בטחון,5.0,2019-Q1,23,3.8330376951533336
עבירות בטחון,5.0,2019-Q2,25,4.166345320818841
עבירות בטחון,5.0,2019-Q3,43,7.166113951808406
עבירות בטחון,5.0,2019-Q4,45,7.499421577473913
עבירות בטחון,5.0,2020-Q1,30,4.999614384982609
עבירות בטחון,5.0,2020-Q2,20,3.3330762566550725
עבירות בטחון,5.0,2020-Q3,32,5.332922010648116
עבירות בטחון,5.0,2020-Q4,32,5.332922010648116
עבירות בטחון,5.0,2021-Q1,57,9.499267331466957
עבירות בטחון,5.0,2021-Q2,111,18.498573224435653
עבירות בטחון,5.0,2021-Q3,52,8.66599826730319
עבירות בטחון,5.0,2021-Q4,75,12.499035962456523
עבירות בטחון,5.0,2022-Q1,40,6.666152513310145
עבירות בטחון,5.0,2022-Q2,42,6.999460138975652
עבירות בטחון,5.0,2022-Q3,31,5.166268197815363
עבירות בטחון,5.0,2022-Q4,36,5.999537261979131
עבירות בטחון,5.0,2023-Q1,70,11.665766898292754
עבירות בטחון,6.0,2018-Q1,23,1.6834820521917073
עבירות בטחון,6.0,2018-Q2,19,1.390702564854019
עבירות בטחון,6.0,2018-Q3,24,1.7566769240261293
עבירות בטחון,6.0,2018-Q4,40,2.9277948733768824
עבירות בטחון,6.0,2019-Q1,49,3.5865487198866806
עבירות בטחון,6.0,2019-Q2,22,1.6102871803572851
עבירות בטחון,6.0,2019-Q3,31,2.2690410268670838
עבירות בטחון,6.0,2019-Q4,30,2.195846155032662
עבירות בטחון,6.0,2020-Q1,26,1.9030666676949735
עבירות בטחון,6.0,2020-Q2,21,1.5370923085228632
עבירות בטחון,6.0,2020-Q3,25,1.8298717958605513
עבירות בטחון,6.0,2020-Q4,18,1.317507693019597
עבירות בטחון,6.0,2021-Q1,10,0.7319487183442206
עבירות בטחון,6.0,2021-Q2,26,1.9030666676949735
עבירות בטחון,6.0,2021-Q3,15,1.097923077516331
עבירות בטחון,6.0,2021-Q4,22,1.6102871803572851
עבירות בטחון,6.0,2022-Q1,27,1.9762615395293954
עבירות בטחון,6.0,2022-Q2,35,2.561820514204772
עבירות בטחון,6.0,2022-Q3,33,2.4154307705359277
עבירות בטחון,6.0,2022-Q4,28,2.0494564113638174
עבירות בטחון,6.0,2023-Q1,32,2.3422358987015057
עבירות בטחון,7.0,2018-Q1,17,3.3101990030566415
עבירות בטחון,7.0,2018-Q2,11,2.1418934725660623
עבירות בטחון,7.0,2018-Q3,21,4.089069356717028
עבירות בטחון,7.0,2018-Q4,13,2.5313286493962552
עבירות בטחון,7.0,2019-Q1,11,2.1418934725660623
עבירות בטחון,7.0,2019-Q2,15,2.9207638262264486
עבירות בטחון,7.0,2019-Q3,14,2.726046237811352
עבירות בטחון,7.0,2019-Q4,18,3.504916591471738
עבירות בטחון,7.0,2020-Q1,16,3.115481414641545
עבירות בטחון,7.0,2020-Q2,14,2.726046237811352
עבירות בטחון,7.0,2020-Q3,14,2.726046237811352
עבירות בטחון,7.0,2020-Q4,8,1.5577407073207725
עבירות בטחון,7.0,2021-Q1,11,2.1418934725660623
עבירות בטחון,7.0,2021-Q2,33,6.425680417698187
עבירות בטחון,7.0,2021-Q3,17,3.3101990030566415
עבירות בטחון,7.0,2021-Q4,21,4.089069356717028
עבירות בטחון,7.0,2022-Q1,19,3.699634179886835
עבירות בטחון,7.0,2022-Q2,22,4.283786945132125
עבירות בטחון,7.0,2022-Q3,24,4.673222121962318
עבירות בטחון,7.0,2022-Q4,21,4.089069356717028
עבירות בטחון,7.0,2023-Q1,33,6.425680417698187
עבירות בטחון,8.0,2018-Q1,23,3.325486067729422
עבירות בטחון,8.0,2018-Q2,14,2.0242089107918217
עבירות בטחון,8.0,2018-Q3,7,1.0121044553959109
עבירות בטחון,8.0,2018-Q4,15,2.1687952615626664
עבירות בטחון,8.0,2019-Q1,14,2.0242089107918217
עבירות בטחון,8.0,2019-Q2,23,3.325486067729422
עבירות בטחון,8.0,2019-Q3,14,2.0242089107918217
עבירות בטחון,8.0,2019-Q4,16,2.3133816123335107
עבירות בטחון,8.0,2020-Q1,24,3.470072418500266
עבירות בטחון,8.0,2020-Q2,17,2.457967963104355
עבירות בטחון,8.0,2020-Q3,19,2.747140664646044
עבירות בטחון,8.0,2020-Q4,21,3.036313366187733
עבירות בטחון,8.0,2021-Q1,25,3.6146587692711103
עבירות בטחון,8.0,2021-Q2,66,9.542699150875732
עבירות בטחון,8.0,2021-Q3,16,2.3133816123335107
עבירות בטחון,8.0,2021-Q4,12,1.735036209250133
עבירות בטחון,8.0,2022-Q1,13,1.8796225600209775
עבירות בטחון,8.0,2022-Q2,26,3.759245120041955
עבירות בטחון,8.0,2022-Q3,19,2.747140664646044
עבירות בטחון,8.0,2022-Q4,16,2.3133816123335107
עבירות בטחון,8.0,2023-Q1,31,4.482176873896177
עבירות בטחון,9.0,2018-Q1,2,0.09130335305111456
עבירות בטחון,9.0,2018-Q2,1,0.04565167652555728
עבירות בטחון,9.0,2018-Q3,5,0.22825838262778642
עבירות בטחון,9.0,2018-Q4,3,0.13695502957667183
עבירות בטחון,9.0,2019-Q1,5,0.22825838262778642
עבירות בטחון,9.0,2019-Q2,5,0.22825838262778642
עבירות בטחון,9.0,2019-Q3,2,0.09130335305111456
עבירות בטחון,9.0,2019-Q4,3,0.13695502957667183
עבירות בטחון,9.0,2020-Q1,2,0.09130335305111456
עבירות בטחון,9.0,2020-Q2,1,0.04565167652555728
עבירות בטחון,9.0,2020-Q3,1,0.04565167652555728
עבירות בטחון,9.0,2020-Q4,3,0.13695502957667183
עבירות בטחון,9.0,2021-Q1,17,0.7760785009344737
עבירות בטחון,9.0,2021-Q2,9,0.41086508873001554
עבירות בטחון,9.0,2021-Q3,1,0.04565167652555728
עבירות בטחון,9.0,2021-Q4,1,0.04565167652555728
עבירות בטחון,9.0,2022-Q1,3,0.13695502957667183
עבירות בטחון,9.0,2022-Q2,1,0.04565167652555728
עבירות בטחון,9.0,2022-Q3,3,0.13695502957667183
עבירות בטחון,9.0,2022-Q4,1,0.04565167652555728
עבירות בטחון,9.0,2023-Q1,4,0.18260670610222912
עבירות בטחון,10.0,2018-Q1,1,0.0032288830789559604
עבירות בטחון,10.0,2018-Q3,1,0.0032288830789559604
עבירות בטחון,10.0,2018-Q4,1,0.0032288830789559604
עבירות בטחון,10.0,2019-Q1,1,0.0032288830789559604
עבירות בטחון,10.0,2019-Q3,1,0.0032288830789559604
עבירות בטחון,10.0,2019-Q4,2,0.006457766157911921
עבירות בטחון,10.0,2020-Q1,1,0.0032288830789559604
עבירות בטחון,10.0,2020-Q4,2,0.006457766157911921
עבירות בטחון,10.0,2021-Q1,1,0.0032288830789559604
עבירות בטחון,10.0,2021-Q2,3,0.009686649236867882
עבירות בטחון,10.0,2021-Q3,1,0.0032288830789559604
עבירות בטחון,10.0,2022-Q1,2,0.006457766157911921
עבירות בטחון,10.0,2022-Q2,1,0.0032288830789559604
עבירות בטחון,10.0,2023-Q1,1,0.0032288830789559604
עבירות כלכליות,1.0,2018-Q1,2,0.08578905830241987
עבירות כלכליות,1.0,2018-Q2,4,0.17157811660483974
עבירות כלכליות,1.0,2018-Q3,3,0.1286835874536298
עבירות כלכליות,1.0,2018-Q4,11,0.47183982066330926
עבירות כלכליות,1.0,2019-Q2,3,0.1286835874536298
עבירות כלכליות,1.0,2019-Q3,7,0.3002617040584695
עבירות כלכליות,1.0,2019-Q4,2,0.08578905830241987
עבירות כלכליות,1.0,2020-Q1,5,0.21447264575604968
עבירות כלכליות,1.0,2020-Q2,1,0.042894529151209934
עבירות כלכליות,1.0,2020-Q3,2,0.08578905830241987
עבירות כלכליות,1.0,2020-Q4,3,0.1286835874536298
עבירות כלכליות,1.0,2021-Q1,8,0.3431562332096795
עבירות כלכליות,1.0,2021-Q2,11,0.47183982066330926
עבירות כלכליות,1.0,2021-Q4,4,0.17157811660483974
עבירות כלכליות,1.0,2022-Q1,12,0.5147343498145192
עבירות כלכליות,1.0,2022-Q2,9,0.3860507623608894
עבירות כלכליות,1.0,2022-Q3,12,0.5147343498145192
עבירות כלכליות,1.0,2022-Q4,9,0.3860507623608894
עבירות כלכליות,1.0,2023-Q1,6,0.2573671749072596
עבירות כלכליות,2.0,2018-Q1,28,5.878762638532195
עבירות כלכליות,2.0,2018-Q2,45,9.448011383355313
עבירות כלכליות,2.0,2018-Q3,20,4.199116170380139
עבירות כלכליות,2.0,2018-Q4,30,6.298674255570209
עבירות כלכליות,2.0,2019-Q1,16,3.3592929363041115
עבירות כלכליות,2.0,2019-Q2,23,4.82898359593716
עבירות כלכליות,2.0,2019-Q3,24,5.038939404456167
עבירות כלכליות,2.0,2019-Q4,22,4.619027787418153
עבירות כלכליות,2.0,2020-Q1,35,7.348453298165244
עבירות כלכליות,2.0,2020-Q2,28,5.878762638532195
עבירות כלכליות,2.0,2020-Q3,31,6.508630064089216
עבירות כלכליות,2.0,2020-Q4,40,8.398232340760279
עבירות כלכליות,2.0,2021-Q1,35,7.348453298165244
עבירות כלכליות,2.0,2021-Q2,36,7.558409106684251
עבירות כלכליות,2.0,2021-Q3,41,8.608188149279286
עבירות כלכליות,2.0,2021-Q4,45,9.448011383355313
עבירות כלכליות,2.0,2022-Q1,66,13.85708336225446
עבירות כלכליות,2.0,2022-Q2,169,35.48253163971218
עבירות כלכליות,2.0,2022-Q3,113,23.725006362647786
עבירות כלכליות,2.0,2022-Q4,138,28.97390157562296
עבירות כלכליות,2.0,2023-Q1,158,33.173017746003104
עבירות כלכליות,3.0,2018-Q1,6,0.48784155850165434
עבירות כלכליות,3.0,2018-Q2,4,0.32522770566776954
עבירות כלכליות,3.0,2018-Q3,1,0.08130692641694238
עבירות כלכליות,3.0,2018-Q4,1,0.08130692641694238
עבירות כלכליות,3.0,2019-Q1,5,0.4065346320847119
עבירות כלכליות,3.0,2019-Q2,10,0.8130692641694238
עבירות כלכליות,3.0,2019-Q3,5,0.4065346320847119
עבירות כלכליות,3.0,2019-Q4,2,0.16261385283388477
עבירות כלכליות,3.0,2020-Q1,2,0.16261385283388477
עבירות כלכליות,3.0,2020-Q2,11,0.8943761905863662
עבירות כלכליות,3.0,2020-Q3,4,0.32522770566776954
עבירות כלכליות,3.0,2020-Q4,4,0.32522770566776954
עבירות כלכליות,3.0,2021-Q1,9,0.7317623377524815
עבירות כלכליות,3.0,2021-Q2,10,0.8130692641694238
עבירות כלכליות,3.0,2021-Q3,10,0.8130692641694238
עבירות כלכליות,3.0,2021-Q4,11,0.8943761905863662
עבירות כלכליות,3.0,2022-Q1,10,0.8130692641694238
עבירות כלכליות,3.0,2022-Q2,26,2.113980086840502
עבירות כלכליות,3.0,2022-Q3,21,1.70744545475579
עבירות כלכליות,3.0,2022-Q4,85,6.911088745440103
עבירות כלכליות,3.0,2023-Q1,16,1.3009108226710782
עבירות כלכליות,4.0,2018-Q1,5,0.18904776227605408
